station_id,station_name,city,latitude,longitude,line,timestamp,hour,day_of_week,month,pm25,pm10,co2,no2,o3,noise,humidity,temperature,wind_speed,rain
47,Station-47,Toulouse,48.88963040626749,2.921853088999896,Ligne B,1750776400043,13,2,8,32,42,944,59,47,51,75,22,6.716266699228757,0
47,Station-47,Lyon,48.63033677983822,2.022784309814177,Metro 2,1756478800646,5,2,12,63,42,411,86,25,50,48,34,9.172679887464268,1
17,Station-17,Nice,48.08001431381155,2.4144993578680083,Metro 2,1746204400649,23,5,6,46,53,590,80,55,77,64,34,0.5206781677828998,0
4,Station-4,Paris,48.81039453184959,2.055594691421217,Metro 2,1737319600655,20,5,1,23,75,867,40,53,76,51,33,3.014681066565479,1
4,Station-4,Paris,48.80194933000192,2.689169966820752,Ligne A,1735375600658,13,7,8,50,60,682,27,23,57,78,25,8.863396476910093,1
34,Station-34,Toulouse,48.02452192987834,2.4527177847469845,Ligne A,1761457600661,6,6,3,55,77,776,81,59,75,81,22,3.153441147431529,1
10,Station-10,Lyon,48.35297465796897,2.4157413143631574,Metro 1,1740080800662,17,7,4,24,96,763,11,62,72,79,10,3.6358125551901654,1
10,Station-10,Marseille,48.5796161216567,2.9396911216814208,Metro 1,1737758800662,2,7,3,37,49,788,33,52,50,77,24,3.141024130237967,0
39,Station-39,Toulouse,48.997114462477334,2.0901836323547758,Ligne A,1732132000663,12,5,9,23,79,860,37,26,59,89,22,1.3145906211291503,1
11,Station-11,Paris,48.84757998062457,2.1585591255691368,Ligne C,1747403200664,4,3,4,59,74,760,25,5,54,40,24,3.4388666673553026,1
36,Station-36,Marseille,48.620529028999904,2.390523951648745,Ligne B,1756097200664,0,5,8,68,89,936,36,7,76,90,24,9.069726371824553,0
28,Station-28,Paris,48.40111668795883,2.472613146371674,Metro 2,1752569200665,1,5,5,73,81,999,73,60,70,59,20,1.8003863598943526,0
18,Station-18,Nice,48.232933100373685,2.057636536255738,Ligne A,1739897200666,21,4,4,24,34,788,46,34,76,95,24,2.599992716727071,0
34,Station-34,Toulouse,48.28821675806478,2.3446216639998885,Ligne B,1744850800669,10,3,8,33,50,773,14,9,57,40,24,3.3687768787034367,1
9,Station-9,Paris,48.90849655980714,2.8107524771628887,Metro 2,1751348800669,23,2,3,75,85,865,22,6,76,95,11,4.915279294013727,1
0,Station-0,Nice,48.869488326927346,2.967933743762453,Metro 1,1740858400670,1,5,7,20,42,837,21,44,70,80,14,6.345853620941769,0
8,Station-8,Marseille,48.10164767143682,2.908309677825714,Metro 1,1751132800671,0,3,10,36,77,858,33,6,61,92,19,9.820948287889948,1
27,Station-27,Lyon,48.1145136555382,2.6730415729291495,Metro 2,1737053200672,18,3,8,69,60,725,86,60,73,68,18,8.595604923179302,0
24,Station-24,Nice,48.26619040213313,2.7007716337313425,Ligne A,1745718400672,1,7,1,64,52,734,39,63,78,57,9,7.580186712126752,0
25,Station-25,Nice,48.95152315516833,2.6697215356575534,Ligne C,1759614400673,0,5,12,33,92,944,87,6,72,93,6,3.5705999403872637,1
42,Station-42,Lyon,48.76983515316195,2.9100455078171525,Ligne B,1742690800673,17,7,11,23,33,463,43,49,78,93,25,8.376022459152306,1
7,Station-7,Paris,48.44969564231302,2.22995297536139,Metro 2,1739976400674,15,2,9,58,86,966,63,19,70,62,28,0.9003837996029673,0
16,Station-16,Paris,48.70524139292104,2.86259366273362,Metro 2,1763390800675,17,6,4,52,45,920,26,53,78,53,14,0.27564548547660106,0
16,Station-16,Nice,48.876255737799696,2.449342718486021,Ligne B,1737114400676,22,3,10,31,69,427,64,16,69,48,18,5.21268406190491,0
19,Station-19,Nice,48.7270147970169,2.2066501843455133,Metro 2,1750027600676,7,3,10,63,99,936,48,11,59,64,17,3.646603612703476,0
43,Station-43,Lyon,48.162074754397885,2.8208660470826783,Ligne B,1750124800677,2,7,1,36,78,601,50,7,68,78,5,3.1830592244894595,1
38,Station-38,Toulouse,48.29336682332055,2.9480024021788336,Metro 2,1737391600678,21,1,8,39,47,709,68,22,70,81,29,2.3159125214086798,0
6,Station-6,Paris,48.60005799939896,2.613019975155625,Ligne B,1734180400678,14,7,3,79,68,982,43,22,74,42,24,7.455539665462847,0
6,Station-6,Marseille,48.06497049849199,2.434704639232749,Ligne B,1756828000679,6,4,7,33,93,759,17,15,56,49,21,8.418687798629536,0
24,Station-24,Paris,48.59743975407037,2.231819977143845,Ligne A,1753908400679,10,6,1,55,64,841,12,25,74,96,23,4.901231257028995,1
13,Station-13,Toulouse,48.580841446840935,2.4638488032448858,Ligne C,1748566000680,21,5,7,43,81,635,31,38,56,68,30,4.3378468709836575,1
1,Station-1,Lyon,48.24869168409141,2.6090266937175883,Metro 1,1753933600680,21,3,7,61,30,981,62,8,76,46,14,2.1403043849170467,1
7,Station-7,Nice,48.566856193376104,2.9830429025793106,Ligne B,1759009600681,15,2,2,25,32,422,47,28,70,51,34,9.550507391107478,0
49,Station-49,Nice,48.174052952150376,2.731250894717907,Metro 2,1740880000681,6,3,11,36,62,654,83,24,66,89,27,8.459085079687553,0
26,Station-26,Nice,48.655096071349966,2.9246320314620795,Ligne C,1756997200692,4,3,11,61,70,612,75,48,61,78,29,5.046285507760952,1
11,Station-11,Paris,48.01795628224375,2.0947087980990906,Ligne A,1750006000693,7,1,7,40,73,523,58,38,73,75,30,2.183692939159049,1
8,Station-8,Marseille,48.604798802105385,2.819202539329196,Ligne C,1754074000694,12,3,8,46,74,677,78,43,74,55,23,0.9222842531931763,1
5,Station-5,Nice,48.77406330451611,2.483304157599884,Ligne B,1761954400694,17,6,12,76,46,890,27,50,57,83,30,4.839731912707016,1
37,Station-37,Paris,48.934782176456956,2.2497511965196795,Ligne B,1759978000695,12,4,7,29,87,655,10,33,68,49,14,2.0428392870702075,1
