station_id,station_name,city,latitude,longitude,line,timestamp,hour,day_of_week,month,pm25,pm10,co2,no2,o3,noise,humidity,temperature,wind_speed,rain
26,Station-26,Lyon,48.68939323000187,2.199433744588767,Ligne B,1739227600048,17,4,5,40,57,685,86,54,56,47,7,2.0023397675071806,0
10,Station-10,Nice,48.46562118637687,2.328504982825615,Ligne C,1762163200645,18,7,9,74,56,674,25,57,55,64,9,0.4549182720067535,1
48,Station-48,Lyon,48.42082654314468,2.7302388923703838,Ligne B,1734349600651,11,6,10,67,91,701,70,20,51,56,25,8.935584666904763,1
48,Station-48,Nice,48.5054629366596,2.5654079885787806,Ligne B,1761544000652,8,3,9,62,73,495,81,56,74,88,17,7.931584598574528,0
30,Station-30,Nice,48.599482498841375,2.540184871425314,Ligne A,1750733200659,21,3,1,33,57,527,27,44,51,48,22,2.1483367943590457,1
33,Station-33,Paris,48.925483652601265,2.892605459899342,Metro 2,1741596400660,12,4,10,65,41,853,45,19,61,63,13,7.720293602996886,1
41,Station-41,Paris,48.26485645884498,2.6125924663304367,Ligne A,1732913200661,16,1,9,54,90,481,32,43,69,51,33,5.354237111728062,1
29,Station-29,Marseille,48.07058060620254,2.0846566516192127,Metro 2,1747910800661,5,3,10,40,44,551,11,50,50,76,7,6.8189576148901745,0
47,Station-47,Nice,48.34635582755467,2.070222644396279,Ligne C,1747709200662,20,4,10,57,37,510,31,16,50,47,7,9.578582369454386,0
36,Station-36,Lyon,48.11045829136518,2.332534729107337,Ligne A,1737499600663,11,5,10,52,73,410,29,57,71,41,7,1.4218085391040824,0
45,Station-45,Lyon,48.853015050978804,2.0480342401506264,Ligne C,1737593200669,1,3,5,62,44,715,28,63,52,55,32,7.130638752711645,0
24,Station-24,Paris,48.7033809355588,2.6707891157053756,Ligne A,1742100400679,22,6,2,42,92,669,18,14,73,72,12,1.125679373638857,1
42,Station-42,Toulouse,48.73348029049002,2.100122238155726,Metro 1,1758786400680,12,1,7,58,63,748,80,45,73,80,27,8.8063195083936,0
2,Station-2,Lyon,48.338985932936964,2.1627171200825797,Metro 1,1751816800680,7,1,11,68,67,971,56,15,66,83,23,8.26633460156501,1
36,Station-36,Paris,48.75623521538019,2.809729815055995,Metro 2,1755179200681,10,4,1,51,39,419,19,26,75,64,18,2.133912717701204,0
42,Station-42,Toulouse,48.986482413135235,2.5554436200361206,Metro 2,1733294800681,3,2,4,21,95,898,69,35,78,68,23,5.21275284922292,0
2,Station-2,Paris,48.72910799516024,2.6887676056087524,Metro 2,1761576400682,15,4,9,57,58,409,88,5,69,94,26,7.404814334304866,1
13,Station-13,Paris,48.73658799844922,2.256426466635913,Metro 1,1748764000683,1,5,1,76,47,562,33,28,68,76,31,6.683869115963196,1
49,Station-49,Lyon,48.65320275418861,2.4305848546048687,Ligne B,1732178800683,13,7,6,46,86,724,39,18,74,42,31,2.6018149637977217,1
16,Station-16,Nice,48.15217967137057,2.587413048226212,Metro 1,1733813200684,11,2,8,56,39,502,55,48,78,40,13,2.4334704835004817,0
20,Station-20,Toulouse,48.452369858265094,2.317571440737772,Ligne A,1754779600684,4,5,10,70,72,990,45,55,75,57,23,9.028498347991047,1
42,Station-42,Toulouse,48.677343522631645,2.763658245638281,Ligne A,1732441600685,17,6,11,50,82,854,12,26,63,83,24,0.04089643783325103,0
31,Station-31,Lyon,48.94377359651815,2.8913805073625762,Metro 1,1744980400685,1,5,1,54,52,932,21,23,69,91,9,2.916777332846495,1
46,Station-46,Lyon,48.83886211736648,2.389419625204984,Ligne B,1761598000686,22,1,7,65,78,899,51,26,72,90,15,5.155288911286625,0
17,Station-17,Toulouse,48.29227638152043,2.636960790795245,Ligne B,1744019200686,11,5,3,56,99,428,34,18,56,78,30,4.483072976993156,0
42,Station-42,Lyon,48.36142621208523,2.293917782879051,Metro 2,1742068000687,8,1,12,22,94,590,53,9,53,72,12,8.78292526215137,1
3,Station-3,Toulouse,48.781179135499144,2.3787506065422512,Metro 1,1735210000687,22,6,11,41,87,934,68,14,52,77,16,3.6014568893282375,1
10,Station-10,Lyon,48.31710355757732,2.7069527109738134,Ligne C,1740246400688,16,5,1,45,67,584,20,39,58,75,7,0.47012519608167436,1
7,Station-7,Lyon,48.792827879649195,2.815928660699808,Metro 1,1733266000688,12,4,11,71,72,602,32,29,50,70,20,0.1324186949954187,1
25,Station-25,Nice,48.2475203517184,2.442209694066735,Metro 2,1750657600689,12,3,10,36,88,565,10,16,63,59,9,4.86362773378494,1
14,Station-14,Nice,48.125553670382864,2.1708161834599475,Ligne B,1758293200690,2,4,4,24,33,638,11,16,74,92,24,9.814609574266914,1
49,Station-49,Paris,48.689349514959964,2.748920020751883,Ligne B,1742266000690,11,6,9,27,99,520,82,62,54,50,14,6.653419091828141,0
36,Station-36,Paris,48.00516582618627,2.649755566707165,Metro 1,1762238800691,18,6,10,28,42,667,89,26,66,71,33,4.277993131058703,1
43,Station-43,Toulouse,48.90211821981582,2.4173526549383344,Metro 2,1739594800691,20,5,4,29,42,867,58,35,62,59,5,5.099612959776628,0
15,Station-15,Lyon,48.37565142017297,2.431783549059546,Ligne C,1747781200692,15,6,12,47,49,918,20,11,61,61,22,9.749149320168012,1
22,Station-22,Toulouse,48.257603848545614,2.514759951047942,Metro 2,1750934800692,10,4,10,69,47,947,79,53,76,82,18,7.7210103262076775,0
35,Station-35,Marseille,48.89991727177553,2.8102253363390854,Metro 2,1762958800693,5,6,5,52,59,409,10,56,78,93,8,7.937467975772147,0
41,Station-41,Lyon,48.13422668946629,2.674034551387451,Metro 1,1733420800693,3,6,4,46,89,680,71,23,54,58,26,5.324779459766904,1
21,Station-21,Nice,48.00979751605824,2.8846509286881172,Ligne B,1753577200694,1,2,7,72,62,756,70,40,58,85,16,4.132112492736462,0
6,Station-6,Nice,48.50410501463795,2.811140243405082,Ligne A,1754765200694,18,1,9,55,34,529,12,62,76,75,32,5.159804717152669,1
43,Station-43,Lyon,48.849942374473336,2.182927845852492,Metro 2,1744012000695,22,7,5,74,82,488,84,26,74,99,6,6.048717848459174,0
48,Station-48,Nice,48.12705795393051,2.801849998247576,Ligne C,1739796400695,17,3,2,22,66,750,69,17,67,75,6,0.34839069659129196,1
8,Station-8,Toulouse,48.529747723143885,2.7585886739269116,Ligne C,1755614800696,17,6,9,34,41,400,66,19,59,68,6,1.418375747747811,0
41,Station-41,Paris,48.78615487097569,2.605097757539702,Ligne B,1737211600696,12,1,1,72,47,474,19,45,77,94,5,6.62662210395046,0
0,Station-0,Nice,48.656450279028554,2.595709405462541,Metro 1,1761007600697,9,3,7,74,58,896,48,14,74,54,24,0.5407861697654481,0
36,Station-36,Nice,48.461138468681334,2.556801966271565,Metro 2,1748022400697,3,5,10,53,40,447,38,31,59,53,12,0.4422158567526224,0
12,Station-12,Marseille,48.210323343829785,2.769925722533083,Ligne C,1732934800698,12,5,10,27,87,444,12,26,69,87,5,1.8448086725765211,0
44,Station-44,Marseille,48.90546649555696,2.401541735641169,Ligne C,1750168000698,19,4,12,68,91,479,60,12,53,87,14,9.717177692348468,0
21,Station-21,Paris,48.161280581261316,2.3685871823891276,Metro 1,1752785200698,3,2,2,71,62,897,14,45,58,70,33,2.095797995414487,0
26,Station-26,Toulouse,48.5777009299839,2.7225848434952176,Ligne A,1750024000699,18,1,4,58,88,900,67,6,66,95,23,3.3803362113194857,0
17,Station-17,Paris,48.47258682021797,2.946858953122728,Metro 1,1742543200699,9,3,7,63,33,717,56,28,78,41,17,0.8248998823676468,1
25,Station-25,Nice,48.03801226433818,2.566589646916176,Ligne B,1733118400700,18,7,2,73,30,947,87,48,78,70,7,2.762086711438778,1
42,Station-42,Paris,48.85037845910201,2.252309263487658,Metro 1,1744699600700,19,5,2,78,51,837,82,13,59,96,30,3.451104399657016,1
2,Station-2,Nice,48.01130514786329,2.8541908049304716,Metro 2,1750794400701,7,4,1,47,74,678,13,63,69,66,15,2.656671968960552,1
4,Station-4,Toulouse,48.16783744957344,2.985390463392861,Ligne B,1734364000701,5,1,4,35,73,788,65,46,67,40,5,7.509141775436303,0
47,Station-47,Toulouse,48.92203395325356,2.8467487275129058,Ligne C,1734421600702,10,5,11,45,78,768,53,9,71,72,27,4.550830865663064,1
34,Station-34,Marseille,48.34279672129465,2.518785336127305,Ligne B,1738615600702,20,7,1,55,68,713,29,32,70,98,31,0.5623269570936773,1
18,Station-18,Marseille,48.997650093936194,2.267290481808414,Ligne A,1735393600702,2,5,1,28,52,766,52,53,57,46,32,4.845299047035355,0
40,Station-40,Lyon,48.852896211836196,2.786138879304018,Metro 2,1735184800703,9,1,4,67,56,740,62,52,75,52,26,9.060147586176207,0
37,Station-37,Lyon,48.91679861509448,2.0169302268250346,Ligne B,1748807200703,12,6,9,47,60,659,27,36,73,70,10,3.9055949395490686,1
35,Station-35,Paris,48.41057808450322,2.9148378105935353,Ligne C,1739098000704,8,4,4,42,94,612,31,28,55,83,9,3.9379481264013902,1
25,Station-25,Toulouse,48.1469996451078,2.733378276305562,Ligne A,1741121200704,3,7,1,26,89,434,77,29,72,99,29,7.448927283811243,1
15,Station-15,Toulouse,48.77944192547984,2.107143025714717,Metro 1,1735962400704,0,2,10,21,35,960,68,44,78,92,22,0.14058546949377915,1
26,Station-26,Marseille,48.7822299600069,2.073475361291875,Ligne C,1742572000705,9,6,2,67,92,789,41,53,58,98,6,2.476007764431245,0
47,Station-47,Nice,48.40663303279813,2.81021279607706,Metro 1,1748756800705,7,7,11,45,58,955,21,10,50,40,15,1.134110156071545,1
43,Station-43,Lyon,48.14934485419264,2.39674859487757,Metro 1,1761742000706,12,7,4,25,79,413,32,22,52,46,18,5.7966799042125805,1
26,Station-26,Lyon,48.55129498813335,2.0291830432415674,Metro 1,1732394800706,13,2,12,69,79,956,68,55,75,52,10,7.845083892210631,0
32,Station-32,Toulouse,48.44763260036652,2.5579876588684263,Metro 1,1742053600707,9,3,6,57,41,767,16,29,71,48,5,2.2753681504443346,0
26,Station-26,Toulouse,48.5945073098499,2.1248762453739873,Ligne C,1736880400707,0,2,9,53,94,736,20,17,50,47,10,6.9112705300160275,1
35,Station-35,Paris,48.188956331945484,2.842276165893698,Ligne A,1758761200708,1,7,2,67,60,973,72,38,59,55,32,0.20096947427710954,1
38,Station-38,Nice,48.59904612984019,2.521814111220852,Ligne B,1744908400708,20,1,3,60,97,913,20,25,63,73,30,0.8658025559839355,0
2,Station-2,Marseille,48.2219545124945,2.7454154180390966,Ligne A,1734785200709,12,5,8,64,86,743,89,34,70,60,10,7.2407894817106975,1
5,Station-5,Paris,48.19682894165742,2.329512244744728,Metro 2,1755820000709,20,5,3,62,48,783,89,33,73,99,22,5.813506539902733,1
13,Station-13,Paris,48.05214890492758,2.023923278233273,Metro 2,1753660000709,19,4,2,76,60,797,20,48,71,97,24,4.309515926468671,1
6,Station-6,Lyon,48.1507614444001,2.3290457971260428,Metro 1,1737254800710,19,7,7,34,66,531,87,6,60,67,30,7.258935533682403,0
4,Station-4,Toulouse,48.06277039502378,2.269328360588115,Ligne C,1738010800710,0,1,8,55,62,765,10,19,51,97,21,8.66951649256526,1
5,Station-5,Marseille,48.33810379283936,2.640762679611666,Metro 1,1752918400714,11,7,12,47,89,515,32,26,66,71,32,5.971449816555493,0
34,Station-34,Toulouse,48.48584406753844,2.233675478666571,Metro 2,1752731200715,19,3,7,56,91,832,72,15,63,64,6,6.550829070792764,1
6,Station-6,Marseille,48.37867152699973,2.0107541390329997,Metro 1,1745196400715,19,4,6,32,96,850,39,63,76,85,5,3.0726903928180294,0
36,Station-36,Marseille,48.16126080470076,2.36936164628712,Ligne A,1756666000715,1,5,5,21,31,764,82,50,60,41,15,0.6978281431092237,1
12,Station-12,Marseille,48.05278160669053,2.8257152102588456,Ligne C,1742928400716,11,7,10,42,75,609,41,24,53,79,24,1.5355347213159354,0
7,Station-7,Marseille,48.068392109180394,2.67513698543587,Metro 1,1749779200716,6,5,4,31,57,429,65,48,70,66,24,5.145674048529127,0
24,Station-24,Nice,48.97667823957732,2.7367542915481726,Metro 1,1751964400717,2,1,1,77,48,654,89,32,63,62,31,4.933238712762586,1
48,Station-48,Lyon,48.67775428114517,2.672029955518904,Ligne A,1750621600717,17,4,11,68,43,825,60,27,60,82,28,0.2604173090036388,0
17,Station-17,Lyon,48.56119771319513,2.314111977436424,Ligne C,1735091200718,8,3,7,34,84,975,33,8,65,65,26,5.4903661024489425,0
8,Station-8,Nice,48.6749136068963,2.8023142340371727,Metro 2,1745462800718,17,1,2,33,97,961,38,6,64,60,19,7.927306707555275,1
9,Station-9,Marseille,48.277319718007476,2.012820379632672,Metro 2,1741024000718,4,4,3,31,76,624,25,27,62,54,34,0.04114206772652507,0
7,Station-7,Toulouse,48.42619143485316,2.3850990352514616,Ligne B,1737920800719,9,3,7,46,88,506,30,32,53,52,23,5.386950691683401,1
8,Station-8,Marseille,48.7125577008241,2.5567610623399477,Ligne B,1756874800719,11,4,1,79,35,509,24,19,62,69,9,2.6591396851288076,1
21,Station-21,Paris,48.06072657836513,2.428661831664904,Metro 1,1744818400719,21,6,12,49,95,903,45,21,67,82,31,7.463684577927493,0
46,Station-46,Toulouse,48.17322158108165,2.0252185554102944,Metro 1,1739598400720,1,5,4,28,64,528,75,12,79,97,7,8.15100798586974,0
28,Station-28,Lyon,48.64332519895257,2.989288697759129,Ligne A,1734414400720,10,1,2,44,73,827,48,11,75,53,27,1.978912673196267,1
1,Station-1,Toulouse,48.58771333604215,2.6904781612451028,Ligne B,1734670000721,20,4,7,28,59,841,59,26,53,93,18,9.542781685876346,0
22,Station-22,Lyon,48.44538951917475,2.0139194424025395,Ligne A,1748216800721,3,6,5,55,31,438,54,25,57,99,25,6.893472070639031,0
20,Station-20,Lyon,48.701300272411906,2.7791140655968407,Ligne B,1737082000722,0,1,4,23,91,582,39,46,58,63,28,9.679033200676212,0
33,Station-33,Lyon,48.95412844432081,2.132652389773881,Ligne C,1754149600723,13,6,9,63,87,667,10,34,79,52,26,3.505038029187406,1
4,Station-4,Paris,48.13301814187359,2.41739135375815,Metro 1,1732139200724,21,4,5,37,51,637,82,17,71,52,14,0.04481484074905784,1
16,Station-16,Nice,48.72925544142188,2.010292040298388,Ligne B,1744656400724,1,3,7,34,86,578,34,40,61,91,29,7.170822986218839,1
38,Station-38,Paris,48.821607840208536,2.1898384998838103,Ligne B,1742280400725,17,7,8,45,95,830,25,52,64,81,20,1.7957458253481107,0
2,Station-2,Marseille,48.27613657878403,2.682511515347975,Ligne A,1733575600726,7,7,7,61,96,483,84,20,78,84,18,2.044509000010436,0
32,Station-32,Toulouse,48.467357809655184,2.9092635029724514,Ligne C,1741538800727,17,4,11,64,69,804,10,5,55,72,6,1.1829450258743235,0
34,Station-34,Nice,48.95706507118959,2.554555410518855,Ligne C,1751827600727,22,3,3,29,50,864,66,19,67,60,33,7.54650557673013,0
23,Station-23,Nice,48.03061910317514,2.4437037748193347,Ligne A,1760827600728,14,5,7,53,83,597,43,41,71,84,19,9.36278341748511,0
10,Station-10,Toulouse,48.161789595486965,2.8136490043226994,Ligne C,1742568400729,3,1,5,76,95,750,89,27,65,78,17,2.186201776681076,1
8,Station-8,Lyon,48.50127555934727,2.242734397274635,Metro 1,1750416400730,21,5,12,46,76,898,30,50,65,91,18,5.045957217489966,0
34,Station-34,Paris,48.760543044158986,2.0008764746607905,Ligne B,1757447200730,19,6,11,79,57,641,56,15,58,48,34,6.259000966989414,1
10,Station-10,Nice,48.28184658818384,2.219529580441975,Ligne B,1757126800731,13,6,10,55,48,857,54,62,74,93,16,4.044839598413461,1
