station_id,station_name,city,latitude,longitude,line,timestamp,hour,day_of_week,month,pm25,pm10,co2,no2,o3,noise,humidity,temperature,wind_speed,rain
21,Station-21,Toulouse,48.46301898457521,2.562824509515371,Ligne C,1759700800043,15,5,12,45,54,947,47,28,76,88,15,7.685186448348137,1
17,Station-17,Marseille,48.78985333296474,2.8507341168219504,Metro 1,1757256400645,1,1,9,21,77,961,53,62,58,91,7,9.77542354636954,0
36,Station-36,Nice,48.140131764793125,2.6905910654592735,Metro 2,1762271200651,0,1,9,49,71,478,48,50,71,85,12,9.426812270502996,0
38,Station-38,Nice,48.82922125368438,2.476900172186823,Metro 1,1760338000652,18,5,4,70,30,664,27,50,74,91,26,2.641892164294527,0
33,Station-33,Marseille,48.87978754420453,2.9568088923135627,Metro 1,1734274000653,23,7,12,60,39,632,48,50,66,51,10,1.161829240135649,1
15,Station-15,Marseille,48.11067204638274,2.0781842274296087,Ligne A,1747147600654,11,1,9,51,61,451,69,8,63,89,32,0.8010147348895846,1
13,Station-13,Paris,48.14844723803715,2.9652346281932593,Ligne B,1733942800654,23,4,7,49,56,918,16,64,77,46,8,2.431140215303639,0
6,Station-6,Nice,48.49837344660941,2.9998778688810463,Ligne A,1751165200655,5,3,4,68,33,746,60,43,67,82,17,4.347361274037629,1
43,Station-43,Toulouse,48.76485856120321,2.0104399912343043,Ligne A,1751971600656,9,3,2,47,66,904,25,22,72,99,34,0.46651182961448323,0
42,Station-42,Lyon,48.606162984468085,2.053764268590175,Ligne A,1734457600657,4,6,8,49,93,475,35,23,63,95,27,2.6422989798708363,0
4,Station-4,Nice,48.54790404345905,2.2985007685341152,Ligne C,1749898000658,10,1,1,30,59,924,52,28,59,87,5,9.363725349525746,1
6,Station-6,Toulouse,48.391979134531084,2.029372813369628,Metro 1,1749106000659,16,5,8,49,63,727,59,17,53,90,33,2.924812897378949,0
10,Station-10,Nice,48.58597849768954,2.1755023389837347,Metro 2,1743810400663,21,1,11,68,49,786,73,60,66,48,26,0.6342179294961359,0
26,Station-26,Toulouse,48.73063355132512,2.9729062544971643,Ligne B,1745300800666,4,7,1,65,79,781,12,25,73,86,5,4.748123934840144,1
42,Station-42,Lyon,48.69981666906485,2.8619032002010973,Ligne C,1735685200666,3,4,3,39,92,667,25,16,64,85,10,8.689226035488648,1
6,Station-6,Nice,48.15239289784015,2.409422133691328,Ligne A,1741160800667,19,2,11,32,39,745,68,12,68,69,11,9.476639005227494,1
43,Station-43,Paris,48.18924429593866,2.226819773856945,Metro 2,1757432800668,21,2,6,24,53,926,23,29,73,83,15,1.7861451138837259,1
38,Station-38,Nice,48.294510014365784,2.403949528974145,Metro 2,1734839200668,13,6,1,52,96,992,60,33,65,85,15,6.099484110678311,0
32,Station-32,Nice,48.986603332781755,2.868484995133872,Ligne C,1752022000669,15,5,10,74,37,537,79,64,64,75,15,7.0729901421801795,1
36,Station-36,Toulouse,48.246836627940674,2.0333799372699373,Metro 1,1735843600670,19,5,1,61,38,957,15,63,57,53,15,4.775055317342868,1
12,Station-12,Paris,48.72796114347364,2.8943229857746138,Metro 1,1738856800671,7,3,5,75,41,424,81,33,54,86,15,2.680824535716939,1
42,Station-42,Toulouse,48.09866236641047,2.218412161471636,Metro 2,1762958800671,10,2,11,72,96,918,87,56,71,99,18,7.048469911431267,0
35,Station-35,Lyon,48.41968337132945,2.136856387316953,Metro 1,1743234400675,18,6,7,62,58,553,16,5,67,55,23,6.406907122129974,1
42,Station-42,Lyon,48.09406653835629,2.0299270119065884,Ligne C,1748764000682,7,3,10,25,89,486,61,23,60,78,14,9.012697752409517,1
47,Station-47,Toulouse,48.40558376101213,2.4382659598066385,Ligne A,1750618000683,3,1,9,28,82,717,64,64,65,41,23,9.458859764791436,0
26,Station-26,Nice,48.56807398841351,2.9122956879074424,Metro 1,1738162000683,4,6,12,30,46,926,31,25,79,52,6,2.6688555313719386,1
22,Station-22,Nice,48.68917641986814,2.66867414781418,Ligne B,1763336800684,15,6,5,74,56,657,30,36,60,70,30,8.893431921663975,1
3,Station-3,Lyon,48.00135942325652,2.729922481937962,Ligne A,1736495200684,18,2,6,41,37,492,36,19,57,64,10,6.376988520215652,0
25,Station-25,Toulouse,48.470558879325,2.7698044253641143,Ligne A,1754027200685,16,2,4,74,38,400,53,30,74,51,5,7.39331017699227,1
29,Station-29,Lyon,48.93053841065109,2.8217658710670483,Ligne A,1743817600685,3,7,3,58,91,717,51,6,55,63,33,2.464712621866422,0
